# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Aluno\Desktop\RegistradoraPratica\output_files\RegistradoraPratica.csv
# Generated on: Wed Jan 08 15:28:22 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,PIN_N14,6,B6_N0,PIN_M8,,,,,,
FINALVALOR[7],Output,,,,PIN_Y4,,,,,,
FINALVALOR[6],Output,,,,PIN_AB7,,,,,,
FINALVALOR[5],Output,,,,PIN_AB5,,,,,,
FINALVALOR[4],Output,,,,PIN_AA7,,,,,,
FINALVALOR[3],Output,,,,PIN_AA6,,,,,,
FINALVALOR[2],Output,,,,PIN_AB6,,,,,,
FINALVALOR[1],Output,PIN_A9,7,B7_N0,PIN_AB4,,,,,,
FINALVALOR[0],Output,PIN_A8,7,B7_N0,PIN_AA5,,,,,,
keyboard_val[3],Input,PIN_C12,7,B7_N0,PIN_AA10,,,,,,
keyboard_val[2],Input,PIN_D12,7,B7_N0,PIN_V9,,,,,,
keyboard_val[1],Input,PIN_C11,7,B7_N0,PIN_R11,,,,,,
keyboard_val[0],Input,PIN_C10,7,B7_N0,PIN_V10,,,,,,
operation[1],Input,PIN_B12,7,B7_N0,PIN_AA8,,,,,,
operation[0],Input,PIN_A12,7,B7_N0,PIN_AB8,,,,,,
RESET,Input,PIN_F15,7,B7_N0,PIN_N4,,,,,,
SEG_DISPLAY1[6],Output,PIN_N20,6,B6_N0,PIN_Y11,,,,,,
SEG_DISPLAY1[5],Output,PIN_N19,6,B6_N0,PIN_W11,,,,,,
SEG_DISPLAY1[4],Output,PIN_M20,6,B6_N0,PIN_D10,,,,,,
SEG_DISPLAY1[3],Output,PIN_N18,6,B6_N0,PIN_V12,,,,,,
SEG_DISPLAY1[2],Output,PIN_L18,6,B6_N0,PIN_E11,,,,,,
SEG_DISPLAY1[1],Output,PIN_K20,6,B6_N0,PIN_W12,,,,,,
SEG_DISPLAY1[0],Output,PIN_J20,6,B6_N0,PIN_V11,,,,,,
SEG_DISPLAY2[6],Output,PIN_F20,6,B6_N0,PIN_E10,,,,,,
SEG_DISPLAY2[5],Output,PIN_F19,6,B6_N0,PIN_C8,,,,,,
SEG_DISPLAY2[4],Output,PIN_H19,6,B6_N0,PIN_B7,,,,,,
SEG_DISPLAY2[3],Output,PIN_J18,6,B6_N0,PIN_C7,,,,,,
SEG_DISPLAY2[2],Output,PIN_E19,6,B6_N0,PIN_H11,,,,,,
SEG_DISPLAY2[1],Output,PIN_E20,6,B6_N0,PIN_A6,,,,,,
SEG_DISPLAY2[0],Output,PIN_F18,6,B6_N0,PIN_J10,,,,,,
SEG_DISPLAY3[6],Output,PIN_E17,6,B6_N0,PIN_AB13,,,,,,
SEG_DISPLAY3[5],Output,PIN_D19,6,B6_N0,PIN_V1,,,,,,
SEG_DISPLAY3[4],Output,PIN_C20,6,B6_N0,PIN_H12,,,,,,
SEG_DISPLAY3[3],Output,PIN_C19,7,B7_N0,PIN_C9,,,,,,
SEG_DISPLAY3[2],Output,PIN_E21,6,B6_N0,PIN_AB15,,,,,,
SEG_DISPLAY3[1],Output,PIN_E22,6,B6_N0,PIN_R12,,,,,,
SEG_DISPLAY3[0],Output,PIN_F21,6,B6_N0,PIN_D9,,,,,,
SEG_DISPLAY4[6],Output,PIN_B22,6,B6_N0,PIN_A2,,,,,,
SEG_DISPLAY4[5],Output,PIN_C22,6,B6_N0,PIN_D5,,,,,,
SEG_DISPLAY4[4],Output,PIN_B21,6,B6_N0,PIN_B2,,,,,,
SEG_DISPLAY4[3],Output,PIN_A21,6,B6_N0,PIN_P10,,,,,,
SEG_DISPLAY4[2],Output,PIN_B19,7,B7_N0,PIN_W8,,,,,,
SEG_DISPLAY4[1],Output,PIN_A20,7,B7_N0,PIN_D7,,,,,,
SEG_DISPLAY4[0],Output,PIN_B20,6,B6_N0,PIN_B5,,,,,,
SEG_DISPLAYtotal1[6],Output,PIN_B17,7,B7_N0,PIN_AA11,,,,,,
SEG_DISPLAYtotal1[5],Output,PIN_A18,7,B7_N0,PIN_U2,,,,,,
SEG_DISPLAYtotal1[4],Output,PIN_A17,7,B7_N0,PIN_A9,,,,,,
SEG_DISPLAYtotal1[3],Output,PIN_B16,7,B7_N0,PIN_A8,,,,,,
SEG_DISPLAYtotal1[2],Output,PIN_E18,6,B6_N0,PIN_Y14,,,,,,
SEG_DISPLAYtotal1[1],Output,PIN_D18,6,B6_N0,PIN_AB10,,,,,,
SEG_DISPLAYtotal1[0],Output,PIN_C18,7,B7_N0,PIN_A5,,,,,,
SEG_DISPLAYtotal2[6],Output,PIN_C17,7,B7_N0,PIN_B3,,,,,,
SEG_DISPLAYtotal2[5],Output,PIN_D17,7,B7_N0,PIN_B4,,,,,,
SEG_DISPLAYtotal2[4],Output,PIN_E16,7,B7_N0,PIN_E9,,,,,,
SEG_DISPLAYtotal2[3],Output,PIN_C16,7,B7_N0,PIN_AA3,,,,,,
SEG_DISPLAYtotal2[2],Output,PIN_C15,7,B7_N0,PIN_W7,,,,,,
SEG_DISPLAYtotal2[1],Output,PIN_E15,7,B7_N0,PIN_C6,,,,,,
SEG_DISPLAYtotal2[0],Output,PIN_C14,7,B7_N0,PIN_C4,,,,,,
TIMER[15],Output,,,,PIN_AA15,,,,,,
TIMER[14],Output,,,,PIN_AB11,,,,,,
TIMER[13],Output,,,,PIN_AA14,,,,,,
TIMER[12],Output,,,,PIN_AB12,,,,,,
TIMER[11],Output,,,,PIN_E8,,,,,,
TIMER[10],Output,,,,PIN_P9,,,,,,
TIMER[9],Output,,,,PIN_D8,,,,,,
TIMER[8],Output,,,,PIN_L2,,,,,,
TIMER[7],Output,,,,PIN_P12,,,,,,
TIMER[6],Output,,,,PIN_E12,,,,,,
TIMER[5],Output,,,,PIN_C5,,,,,,
TIMER[4],Output,,,,PIN_Y10,,,,,,
TIMER[3],Output,,,,PIN_AA12,,,,,,
TIMER[2],Output,,,,PIN_AB9,,,,,,
TIMER[1],Output,,,,PIN_F7,,,,,,
TIMER[0],Output,,,,PIN_AA9,,,,,,
